Date,alfredgraph,Baltic Dry Index Historical Data (1),basf_daily,covestro_daily,DCOILWTICO (1),Dutch TTF Natural Gas Futures Historical Data,lyondellbasell_daily
1/2/2020,2.05,976,46.92092896,36.8337326,61.17,12.075,64.89070892
1/3/2020,2.06,907,46.2201004,36.58922195,63,12.985,63.2936821
1/6/2020,2.1,844,45.5330162,34.83398819,63.27,12.28,63.12773895
1/7/2020,2.17,791,45.55363464,35.04356766,62.7,11.93,62.85811996
1/8/2020,2.09,773,45.16199112,35.65484619,59.65,11.965,62.59540939
1/9/2020,2.05,772,45.5605011,35.95174789,59.56,12.18,62.61613464
1/10/2020,2.05,774,45.23070145,35.48892593,59.02,11.94,61.82800674
1/13/2020,2.03,765,45.20321655,35.55005264,58.17,12.055,63.05169296
1/14/2020,2.15,763,44.49552155,35.36667252,58.34,11.305,63.55639267
1/15/2020,2.01,768,44.21381378,35.03483582,57.86,11.18,63.04480362
1/16/2020,2.06,768,44.24130249,35.44526291,58.52,11.115,63.26603317
1/17/2020,2.07,754,44.330616,35.7159729,58.55,10.93,63.60478973
1/21/2020,1.98,689,44.45429611,35.96921158,58.25,10.775,61.80034256
1/22/2020,1.89,623,44.08327103,35.36667252,56.76,10.455,59.89910889
1/23/2020,1.95,576,43.34809494,34.79906082,55.51,10.43,59.62257767
1/24/2020,1.91,557,43.76033783,34.7204628,54.09,10.455,58.73071289
1/27/2020,2.03,546,42.68849564,33.81228638,53.09,10.525,56.76727676
1/28/2020,1.96,539,43.17632294,34.3449707,53.33,10.79,57.33418274
1/29/2020,1.93,525,43.32748032,34.46722031,53.29,10.15,57.97022247
1/30/2020,1.94,498,42.59917068,34.0917244,52.19,9.78,57.69368362
1/31/2020,1.91,487,41.96017838,33.31453323,51.58,9.755,53.82900238
2/3/2020,1.9,466,41.70596313,32.93903351,50.06,9.21,54.49271011
2/4/2020,1.89,453,42.59230042,33.60270309,49.59,9.365,56.49764633
2/5/2020,1.89,430,43.21067429,33.80355072,50.87,9.315,58.12924957
2/6/2020,1.86,431,43.24502945,33.72496033,50.94,9.15,57.64528656
2/7/2020,1.93,415,42.90148926,33.31453323,50.34,9.07,56.76036453
2/10/2020,1.85,411,43.07326126,33.13988113,49.59,8.645,56.64282227
2/11/2020,1.85,418,43.4030571,33.89960861,50,8.555,58.05319977
2/12/2020,1.91,421,43.87714767,34.29257584,51.13,8.72,59.18702316
2/13/2020,1.95,421,43.06638718,34.00439835,51.41,8.89,57.72134018
2/14/2020,1.93,425,42.94958115,34.14411926,52.03,8.88,57.1060257
2/18/2020,2.04,450,41.91208649,34.44976044,52.1,9.38,56.22110367
2/19/2020,2.01,465,41.980793,35.46273422,53.31,9.57,56.65666199
2/20/2020,1.98,480,42.18692017,35.96048355,53.77,9.565,57.62454605
2/21/2020,1.96,497,41.73344803,34.8951149,53.36,9.41,57.32035828
2/24/2020,1.94,506,40.35240555,33.76862335,51.36,9.045,55.06653214
2/25/2020,1.93,508,39.56913376,33.54157639,49.78,9.005,52.13518906
2/26/2020,1.96,517,39.45232773,33.13988113,48.67,9.07,51.43000412
2/27/2020,1.78,529,38.36673737,31.57676315,47.17,8.87,49.01716614
2/28/2020,1.79,535,36.47038269,30.118433,44.83,8.875,50.1469841
3/2/2020,1.75,539,36.45664597,29.67307281,46.78,8.885,52.29433441
3/3/2020,1.78,549,36.77957535,29.83899117,47.27,9.17,50.69434357
3/4/2020,1.83,562,37.22618103,30.61618996,46.78,8.91,52.79257965
3/5/2020,1.89,599,36.63528824,29.78659439,45.9,8.85,51.86627579
3/6/2020,1.76,617,36.18867874,28.66010284,41.14,8.645,50.51891708
3/9/2020,1.74,616,32.36506653,25.35921288,31.05,8.625,41.83125305
3/10/2020,1.91,627,31.75012779,25.4989357,34.47,8.995,41.92248535
3/11/2020,1.96,631,31.86693001,25.9704895,33.13,9.37,37.89444733
3/12/2020,1.82,633,28.10858345,22.46002007,31.56,9.325,32.32958603
3/13/2020,1.94,631,28.3421917,23.36820221,31.72,9.285,32.86993027
