date,GPPS Contract,HD bm Contract,HD Film Contract,HD Inj. Contract,HIPS Contract,LDPE Contract,LLDPE Contract,PET Bottle Contract,PP Copo Contract,PP Homo Contract,PVC Contract
6/28/2023,1658,1443,1468,1398,1768,1678,1498,1131,1438,1368,1298
7/5/2023,1593,1443,1468,1398,1703,1678,1498,1120,1428,1358,1298
7/12/2023,1578,1413,1438,1368,1678,1648,1468,1120,1418,1348,1273
7/19/2023,1578,1413,1438,1368,1678,1648,1468,1120,1388,1318,1248
7/26/2023,1568,1403,1428,1358,1678,1638,1458,1109,1388,1318,1188
8/2/2023,1568,1403,1428,1358,1678,1638,1458,1109,1388,1318,1188
8/9/2023,1568,1403,1428,1358,1678,1638,1458,1109,1388,1318,1168
8/16/2023,1568,1403,1428,1358,1678,1638,1458,1109,1388,1318,1168
8/23/2023,1658,1403,1428,1358,1768,1638,1458,1109,1398,1318,1148
8/30/2023,1676,1403,1428,1358,1786,1638,1458,1131,1398,1318,1148
9/6/2023,1676,1423,1448,1378,1786,1658,1478,1131,1398,1318,1148
9/13/2023,1676,1443,1468,1398,1786,1678,1498,1131,1398,1318,1148
9/20/2023,1836,1448,1473,1398,1946,1688,1498,1131,1458,1378,1168
9/27/2023,1826,1468,1493,1423,1936,1718,1518,1131,1458,1378,1148
10/4/2023,1826,1478,1503,1433,1936,1728,1528,1163,1458,1378,1158
10/11/2023,1826,1498,1523,1453,1936,1748,1548,1163,1518,1438,1158
10/18/2023,1826,1508,1533,1463,1936,1758,1548,1185,1518,1438,1158
10/25/2023,1886,1543,1568,1498,1996,1788,1593,1185,1518,1438,1168
11/1/2023,1886,1543,1568,1498,1996,1788,1593,1185,1518,1438,1168
11/8/2023,1768,1523,1548,1468,1878,1758,1573,1185,1498,1418,1138
11/15/2023,1768,1498,1523,1453,1878,1738,1548,1185,1478,1398,1138
11/22/2023,1718,1498,1523,1453,1828,1728,1538,1185,1463,1383,1048
11/29/2023,1718,1498,1523,1453,1828,1728,1538,1163,1463,1383,1048
12/6/2023,1648,1478,1503,1433,1758,1708,1518,1152,1448,1368,1038
12/13/2023,1648,1448,1468,1398,1758,1658,1488,1141,1398,1318,1018
12/20/2023,1648,1448,1468,1398,1758,1658,1488,1141,1388,1308,1018
12/27/2023,1648,1448,1468,1398,1758,1658,1488,1141,1388,1308,1018
1/10/2024,1648,1448,1468,1398,1758,1658,1488,1141,1388,1308,1018
1/17/2024,1643,1448,1468,1398,1753,1658,1488,1141,1388,1308,988
1/24/2024,1643,1448,1468,1398,1753,1658,1488,1184,1418,1338,988
1/31/2024,1643,1448,1468,1398,1753,1658,1488,1238,1438,1368,988
2/7/2024,1743,1453,1473,1403,1843,1663,1493,1238,1453,1383,988
2/14/2024,1743,1453,1473,1403,1843,1663,1493,1238,1508,1438,988
2/21/2024,1743,1498,1518,1448,1843,1728,1558,1238,1538,1468,988
2/28/2024,1743,1518,1538,1468,1843,1778,1588,1238,1538,1468,988
3/6/2024,1768,1538,1558,1488,1868,1798,1608,1238,1548,1498,988
3/13/2024,1818,1538,1558,1488,1918,1798,1608,1238,1578,1503,998
3/20/2024,1878,1578,1598,1528,1978,1858,1648,1238,1608,1538,1003
3/27/2024,1878,1578,1598,1528,1978,1868,1658,1238,1608,1538,1003
4/3/2024,1878,1578,1598,1528,1978,1868,1658,1238,1608,1538,1003
4/10/2024,1898,1578,1598,1528,1998,1868,1658,1238,1628,1558,1003
4/17/2024,1898,1578,1598,1528,1998,1868,1658,1238,1628,1558,1003
4/24/2024,1918,1578,1598,1528,2018,1868,1658,1227,1628,1558,1018
5/1/2024,1918,1578,1598,1528,2018,1868,1658,1227,1628,1558,1013
5/8/2024,1868,1568,1588,1518,1968,1858,1648,1216,1618,1548,1013
5/15/2024,1833,1568,1588,1518,1933,1858,1648,1216,1618,1548,1008
5/22/2024,1818,1558,1578,1508,1918,1838,1618,1216,1608,1543,1008
5/29/2024,1818,1558,1578,1508,1918,1838,1618,1194,1608,1538,1008
6/5/2024,1813,1543,1563,1493,1913,1823,1603,1183,1578,1508,998
6/12/2024,1798,1538,1558,1488,1898,1818,1588,1183,1578,1508,978
6/19/2024,1798,1528,1548,1478,1898,1808,1588,1183,1578,1508,948
6/26/2024,1788,1528,1548,1478,1888,1808,1588,1183,1568,1498,923
7/3/2024,1683,1528,1548,1478,1783,1808,1588,1183,1568,1498,923
7/10/2024,1683,1528,1548,1478,1783,1808,1588,1226,1568,1498,933
7/17/2024,1663,1528,1548,1478,1763,1808,1588,1226,1568,1508,933
7/24/2024,1663,1528,1548,1478,1763,1808,1588,1226,1568,1508,933
7/31/2024,1663,1528,1548,1478,1763,1808,1588,1226,1568,1508,933
8/7/2024,1698,1528,1548,1488,1798,1818,1598,1226,1578,1518,933
8/14/2024,1743,1528,1548,1488,1843,1818,1598,1237,1578,1518,933
8/21/2024,1743,1528,1548,1488,1843,1818,1598,1237,1578,1518,938
8/28/2024,1743,1528,1548,1488,1843,1828,1618,1237,1598,1538,938
9/4/2024,1743,1528,1548,1488,1843,1828,1618,1237,1598,1538,938
9/11/2024,1743,1528,1548,1488,1843,1828,1618,1237,1588,1528,928
9/18/2024,1743,1528,1548,1488,1843,1828,1618,1237,1588,1528,948
