date,ABS Spot,GPPS Spot,HD Bm Spot,HD Film Spot,HD Inj. Spot,HIPS Spot,LDPE Spot,LLDPE Spot,PET Bottle Spot,PP Copo Spot,PP Homo Spot,PVC Spot,R-HDPE Light Pellets Spot,R-PET (FGP) Spot,R-PET (Flakes) Spot
6/28/2023,,1518,978,998,928,1618,918,968,998,1068,998,938,1210,1400,948
7/5/2023,,1518,928,968,898,1618,898,898,998,1048,988,938,1190,1400,918
7/12/2023,,1423,928,938,898,1523,898,898,998,1048,978,918,1100,1290,878
7/19/2023,,1398,928,938,898,1498,878,898,998,1048,958,898,1070,1290,848
7/26/2023,,1398,928,928,898,1498,878,878,1018,1048,978,888,1060,1290,848
8/2/2023,,1398,928,938,898,1498,888,908,1038,1048,978,888,1030,1290,848
8/9/2023,,1398,958,968,928,1498,928,938,1018,1098,998,878,1030,1290,848
8/16/2023,,1398,958,968,928,1498,948,958,1018,1098,998,878,1020,1240,798
8/23/2023,,1398,1008,1018,988,1498,988,1028,1028,1108,998,878,1020,1240,798
8/30/2023,,1408,1008,1018,988,1508,988,1028,1038,1108,998,878,1010,1240,798
9/6/2023,,1408,1048,1048,1028,1508,1018,1068,1038,1128,1018,878,1010,1200,798
9/13/2023,,1548,1078,1078,1048,1648,1098,1078,1048,1188,1088,908,950,1200,798
9/20/2023,,1548,1108,1118,1078,1648,1148,1098,1068,1188,1088,918,980,1225,798
9/27/2023,,1598,1108,1118,1088,1698,1178,1138,1068,1188,1088,918,1000,1225,798
10/4/2023,,1658,1138,1148,1118,1748,1208,1168,1088,1208,1108,928,1020,1225,798
10/11/2023,,1658,1158,1168,1158,1748,1228,1188,1088,1248,1168,928,1000,1250,798
10/18/2023,,1658,1088,1108,1098,1748,1188,1138,1098,1228,1168,928,1000,1250,798
10/25/2023,,1658,1098,1118,1088,1748,1188,1148,1098,1228,1158,928,990,1250,828
11/1/2023,,1658,1098,1118,1078,1748,1168,1138,1098,1218,1158,928,1000,1250,828
11/8/2023,,1533,1088,1098,1058,1623,1148,1138,1098,1178,1128,928,1000,1250,848
11/15/2023,,1533,1038,1068,1018,1623,1118,1088,1098,1158,1098,928,1010,1250,848
11/22/2023,,1533,1038,1038,1008,1623,1078,1028,1088,1148,1088,898,1010,1250,838
11/29/2023,,1533,1028,1038,998,1623,1028,1018,1068,1128,1048,898,1000,1220,838
12/6/2023,,1498,1018,1038,998,1598,1028,1018,1048,1108,1028,888,970,1220,838
12/13/2023,1548,1498,988,1048,948,1598,958,988,1048,1098,1018,868,960,1220,848
12/20/2023,1548,1498,988,1048,948,1598,958,978,1048,1068,988,848,930,1230,848
12/27/2023,1548,1498,988,1048,948,1598,958,978,1048,1068,988,848,930,1230,848
1/10/2024,1548,1498,998,1058,1008,1598,1008,998,1098,1083,1023,848,930,1280,898
1/17/2024,1748,1498,998,1058,1018,1598,1108,1078,1108,1128,1068,848,940,1290,898
1/24/2024,1748,1498,1068,1088,1048,1598,1108,1088,1148,1178,1118,848,940,1330,928
1/31/2024,1748,1498,1148,1168,1128,1598,1188,1148,1148,1228,1158,848,950,1350,948
2/7/2024,1848,1698,1148,1168,1128,1798,1218,1148,1148,1268,1198,858,980,1350,948
2/14/2024,1848,1698,1188,1188,1188,1798,1258,1218,1148,1308,1238,858,980,1350,998
2/21/2024,1848,1698,1218,1218,1198,1798,1278,1218,1168,1328,1258,858,990,1450,1048
2/28/2024,1923,1698,1238,1238,1238,1798,1328,1248,1168,1328,1278,858,1010,1450,1093
3/6/2024,1998,1748,1198,1198,1198,1848,1298,1198,1168,1358,1288,863,1050,1470,1148
3/13/2024,2048,1868,1188,1188,1188,1968,1278,1168,1178,1378,1313,873,1060,1500,1178
3/20/2024,2098,1868,1238,1228,1228,1968,1298,1198,1148,1398,1318,873,1070,1510,1188
3/27/2024,1998,1798,1198,1218,1188,1898,1268,1198,1148,1398,1328,873,1090,1510,1208
4/3/2024,1998,1798,1198,1198,1178,1898,1253,1178,1138,1398,1328,873,1120,1510,1208
4/10/2024,2008,1798,1203,1203,1178,1898,1258,1178,1118,1398,1328,873,1120,1530,1238
4/17/2024,2028,1798,1178,1178,1148,1898,1248,1148,1118,1388,1318,873,1120,1580,1248
4/24/2024,2028,1813,1158,1158,1128,1913,1248,1148,1108,1328,1268,873,1140,1610,1258
5/1/2024,2028,1813,1148,1148,1128,1913,1208,1148,1108,1268,1218,868,1140,1600,1288
5/8/2024,2028,1793,1148,1138,1128,1893,1188,1128,1098,1268,1218,868,1140,1610,1298
5/15/2024,2028,1793,1138,1138,1118,1893,1188,1068,1098,1268,1218,868,1130,1610,1298
5/22/2024,2028,1793,1138,1138,1118,1893,1188,1068,1118,1268,1218,863,1130,1620,1298
5/29/2024,2028,1758,1128,1128,1118,1858,1178,1048,1118,1248,1198,838,1130,1620,1298
6/5/2024,2028,1758,1118,1118,1098,1858,1148,1048,1128,1223,1148,858,1130,1610,1308
6/12/2024,1848,1743,1118,1108,1088,1843,1178,1038,1128,1198,1148,838,1130,1610,1308
6/19/2024,1868,1743,1128,1108,1088,1843,1188,1048,1178,1228,1178,818,1130,1620,1328
6/26/2024,1868,1728,1158,1128,1088,1828,1198,1068,1178,1248,1178,798,1140,1620,1328
7/3/2024,1868,1683,1158,1148,1088,1783,1198,1098,1163,1268,1198,798,1160,1610,1318
7/10/2024,1868,1643,1168,1158,1108,1743,1218,1118,1178,1268,1198,818,1210,1620,1318
7/17/2024,1868,1633,1168,1168,1138,1733,1218,1128,1178,1268,1198,838,1210,1630,1318
7/24/2024,1868,1603,1178,1178,1158,1703,1228,1148,1178,1278,1208,838,1210,1620,1308
7/31/2024,1868,1598,1188,1188,1168,1698,1238,1148,1163,1278,1208,838,1220,1620,1308
8/7/2024,1898,1598,1198,1188,1168,1698,1248,1148,1163,1298,1218,838,1220,1610,1308
8/14/2024,1898,1598,1198,1188,1168,1698,1248,1168,1163,1298,1218,838,1220,1600,1298
8/21/2024,1848,1598,1198,1198,1168,1698,1248,1198,1153,1298,1228,848,1220,1600,1298
8/28/2024,1848,1598,1198,1198,1178,1698,1268,1208,1153,1298,1238,848,1220,1610,1308
9/4/2024,1848,1598,1208,1218,1178,1698,1288,1208,1153,1318,1238,848,1230,1610,1308
9/11/2024,1848,1598,1178,1178,1158,1698,1268,1148,1138,1308,1213,848,1230,1600,1298
9/18/2024,1748,1598,1178,1178,1158,1698,1268,1128,1138,1288,1213,868,1230,1600,1298
9/25/2024,1708,1578,1178,1178,1158,1678,1268,1128,1118,1273,1198,868,1230,1600,1308
10/2/2024,1708,1553,1158,1158,1138,1653,1248,1128,1098,1273,1198,878,1230,1590,1288
10/9/2024,1708,1498,1118,1118,1098,1598,1188,1098,1098,1268,1188,878,1210,1590,1298
10/16/2024,1708,1408,1118,1118,1078,1508,1198,1098,1078,1218,1148,878,1200,1590,1298
10/23/2024,1708,1408,1098,1108,1068,1508,1173,1048,1048,1208,1148,883,1190,1580,1288
10/30/2024,1698,1398,1078,1088,1058,1498,1148,1038,1038,1183,1123,883,1190,1580,1288
11/6/2024,1698,1398,1078,1088,1058,1498,1148,1048,1038,1183,1123,883,1190,1590,1298
11/13/2024,1698,1408,1088,1088,1048,1518,1148,1038,1028,1183,1123,883,1180,1590,1298
