Date,Dttf_gas
1/2/2020,12.075
1/3/2020,12.985
1/6/2020,12.28
1/7/2020,11.93
1/8/2020,11.965
1/9/2020,12.18
1/10/2020,11.94
1/13/2020,12.055
1/14/2020,11.305
1/15/2020,11.18
1/16/2020,11.115
1/17/2020,10.93
1/21/2020,10.775
1/22/2020,10.455
1/23/2020,10.43
1/24/2020,10.455
1/27/2020,10.525
1/28/2020,10.79
1/29/2020,10.15
1/30/2020,9.78
1/31/2020,9.755
2/3/2020,9.21
2/4/2020,9.365
2/5/2020,9.315
2/6/2020,9.15
2/7/2020,9.07
2/10/2020,8.645
2/11/2020,8.555
2/12/2020,8.72
2/13/2020,8.89
2/14/2020,8.88
2/18/2020,9.38
2/19/2020,9.57
2/20/2020,9.565
2/21/2020,9.41
2/24/2020,9.045
2/25/2020,9.005
2/26/2020,9.07
2/27/2020,8.87
2/28/2020,8.875
3/2/2020,8.885
3/3/2020,9.17
3/4/2020,8.91
3/5/2020,8.85
3/6/2020,8.645
3/9/2020,8.625
3/10/2020,8.995
3/11/2020,9.37
3/12/2020,9.325
3/13/2020,9.285
3/16/2020,8.74
3/17/2020,8.47
3/18/2020,8.265
3/19/2020,8.545
3/20/2020,8.295
3/23/2020,7.85
3/24/2020,7.91
3/25/2020,7.745
3/26/2020,7.575
3/27/2020,7.22
3/30/2020,6.895
3/31/2020,6.9
4/1/2020,6.825
4/2/2020,6.935
4/3/2020,6.92
4/6/2020,7.285
4/7/2020,7.285
4/8/2020,7.26
4/9/2020,7.28
4/13/2020,7.28
4/14/2020,6.875
4/15/2020,6.65
4/16/2020,6.905
4/17/2020,6.995
4/20/2020,6.62
4/21/2020,6.315
4/22/2020,6.225
4/23/2020,6.055
4/24/2020,5.77
4/27/2020,5.94
4/28/2020,6.145
4/29/2020,6.015
4/30/2020,6.22
5/1/2020,5.845
5/4/2020,5.74
5/5/2020,5.675
5/6/2020,5.765
5/7/2020,5.845
5/8/2020,5.83
5/11/2020,5.705
5/12/2020,5.315
5/13/2020,5.12
5/14/2020,5.265
5/15/2020,5.22
5/18/2020,4.92
5/19/2020,4.61
5/20/2020,4.46
5/21/2020,3.825
5/22/2020,3.89
5/26/2020,4.125
5/27/2020,3.695
5/28/2020,3.51
5/29/2020,4.385
6/1/2020,4.055
6/2/2020,4.85
6/3/2020,5.33
6/4/2020,5.39
6/5/2020,5.71
6/8/2020,5.25
6/9/2020,4.805
6/10/2020,4.8
6/11/2020,4.99
6/12/2020,5.275
6/15/2020,5.515
6/16/2020,5.26
6/17/2020,5.21
6/18/2020,5.45
6/19/2020,5.615
6/22/2020,5.495
6/23/2020,5.83
6/24/2020,5.665
6/25/2020,5.255
6/26/2020,5.105
6/29/2020,5.84
6/30/2020,6.165
7/1/2020,5.865
7/2/2020,5.945
7/6/2020,6.095
7/7/2020,6.125
7/8/2020,5.935
7/9/2020,5.755
7/10/2020,5.475
7/13/2020,5.11
7/14/2020,5.085
7/15/2020,5.225
7/16/2020,5.06
7/17/2020,5.115
7/20/2020,4.73
7/21/2020,4.79
7/22/2020,4.83
7/23/2020,4.985
7/24/2020,5.01
7/27/2020,4.785
7/28/2020,4.96
7/29/2020,5.175
7/30/2020,5.225
7/31/2020,6.025
8/3/2020,6.8
8/4/2020,7.355
8/5/2020,7.32
8/6/2020,7.94
8/7/2020,7.93
8/10/2020,7.59
8/11/2020,7.415
8/12/2020,7.17
8/13/2020,7.31
8/14/2020,8.02
8/17/2020,8.18
8/18/2020,8.55
8/19/2020,8.355
8/20/2020,8.15
8/21/2020,7.62
8/24/2020,8.36
8/25/2020,8.865
8/26/2020,9.15
8/27/2020,8.87
8/28/2020,11.17
8/31/2020,11.24
9/1/2020,11.295
9/2/2020,11.11
9/3/2020,11.735
9/4/2020,11.68
9/8/2020,10.8
9/9/2020,10.735
9/10/2020,10.515
9/11/2020,10.495
9/14/2020,10.705
9/15/2020,10.895
9/16/2020,11.32
9/17/2020,11.12
9/18/2020,11.475
9/21/2020,11.495
9/22/2020,11.705
9/23/2020,12.02
9/24/2020,11.635
9/25/2020,11.665
9/28/2020,12.35
9/29/2020,12.28
9/30/2020,13.285
10/1/2020,13.18
10/2/2020,13.025
10/5/2020,13.42
10/6/2020,13.305
10/7/2020,13.71
10/8/2020,13.9
10/9/2020,13.755
10/12/2020,13.84
10/13/2020,13.595
10/14/2020,13.87
10/15/2020,14.24
10/16/2020,14.5
10/19/2020,14.72
10/20/2020,14.895
10/21/2020,14.865
10/22/2020,15.255
10/23/2020,15.41
10/26/2020,14.865
10/27/2020,14.745
10/28/2020,14.485
10/29/2020,14.215
10/30/2020,14.06
11/2/2020,13.655
11/3/2020,13.665
11/4/2020,13.885
11/5/2020,14.455
11/6/2020,13.9
11/9/2020,13.855
11/10/2020,14.035
11/11/2020,14.095
