Date,DHHNGSP_20251126
1/2/2020,2.05
1/3/2020,2.06
1/6/2020,2.1
1/7/2020,2.17
1/8/2020,2.09
1/9/2020,2.05
1/10/2020,2.05
1/13/2020,2.03
1/14/2020,2.15
1/15/2020,2.01
1/16/2020,2.06
1/17/2020,2.07
1/20/2020,
1/21/2020,1.98
1/22/2020,1.89
1/23/2020,1.95
1/24/2020,1.91
1/27/2020,2.03
1/28/2020,1.96
1/29/2020,1.93
1/30/2020,1.94
1/31/2020,1.91
2/3/2020,1.9
2/4/2020,1.89
2/5/2020,1.89
2/6/2020,1.86
2/7/2020,1.93
2/10/2020,1.85
2/11/2020,1.85
2/12/2020,1.91
2/13/2020,1.95
2/14/2020,1.93
2/17/2020,
2/18/2020,2.04
2/19/2020,2.01
2/20/2020,1.98
2/21/2020,1.96
2/24/2020,1.94
2/25/2020,1.93
2/26/2020,1.96
2/27/2020,1.78
2/28/2020,1.79
3/2/2020,1.75
3/3/2020,1.78
3/4/2020,1.83
3/5/2020,1.89
3/6/2020,1.76
3/9/2020,1.74
3/10/2020,1.91
3/11/2020,1.96
3/12/2020,1.82
3/13/2020,1.94
3/16/2020,1.89
3/17/2020,1.89
3/18/2020,1.73
3/19/2020,1.68
3/20/2020,1.76
3/23/2020,1.7
3/24/2020,1.73
3/25/2020,1.8
3/26/2020,1.73
3/27/2020,1.7
3/30/2020,1.65
3/31/2020,1.71
4/1/2020,1.69
4/2/2020,1.55
4/3/2020,1.5
4/6/2020,1.64
4/7/2020,1.83
4/8/2020,1.86
4/9/2020,1.74
4/10/2020,
4/13/2020,1.86
4/14/2020,1.76
4/15/2020,1.68
4/16/2020,1.59
4/17/2020,1.71
4/20/2020,1.78
4/21/2020,1.92
4/22/2020,1.9
4/23/2020,1.86
4/24/2020,1.81
4/27/2020,1.68
4/28/2020,1.8
4/29/2020,1.73
4/30/2020,1.63
5/1/2020,1.69
5/4/2020,1.78
5/5/2020,1.93
5/6/2020,1.9
5/7/2020,1.84
5/8/2020,1.74
5/11/2020,1.7
5/12/2020,1.61
5/13/2020,1.56
5/14/2020,1.6
5/15/2020,1.66
5/18/2020,1.77
5/19/2020,1.85
5/20/2020,1.83
5/21/2020,1.75
5/22/2020,1.7
5/25/2020,
5/26/2020,1.79
5/27/2020,1.78
5/28/2020,1.79
5/29/2020,1.7
6/1/2020,1.59
6/2/2020,1.58
6/3/2020,1.84
6/4/2020,1.68
6/5/2020,1.8
6/8/2020,1.68
6/9/2020,1.68
6/10/2020,1.72
6/11/2020,1.77
6/12/2020,1.67
6/15/2020,1.64
6/16/2020,1.43
6/17/2020,1.55
6/18/2020,1.51
6/19/2020,1.49
6/22/2020,1.64
6/23/2020,1.61
6/24/2020,1.64
6/25/2020,1.53
6/26/2020,1.42
6/29/2020,1.67
6/30/2020,1.76
7/1/2020,1.69
7/2/2020,1.58
7/3/2020,
7/6/2020,1.71
7/7/2020,1.76
7/8/2020,1.78
7/9/2020,1.88
7/10/2020,1.79
7/13/2020,1.75
7/14/2020,1.74
7/15/2020,1.76
7/16/2020,1.79
7/17/2020,1.79
7/20/2020,1.71
7/21/2020,1.66
7/22/2020,1.69
7/23/2020,1.75
7/24/2020,1.77
7/27/2020,1.85
7/28/2020,1.83
7/29/2020,1.77
7/30/2020,1.81
7/31/2020,1.83
8/3/2020,1.95
8/4/2020,2.07
8/5/2020,2.23
8/6/2020,2.26
8/7/2020,2.15
8/10/2020,2.18
8/11/2020,2.19
8/12/2020,2.05
8/13/2020,2.19
8/14/2020,2.23
8/17/2020,2.32
8/18/2020,2.45
8/19/2020,2.43
8/20/2020,2.35
8/21/2020,2.39
8/24/2020,2.57
8/25/2020,2.54
8/26/2020,2.52
8/27/2020,2.52
8/28/2020,2.46
8/31/2020,2.3
9/1/2020,2.22
9/2/2020,2.15
9/3/2020,2.32
9/4/2020,1.8
9/7/2020,
9/8/2020,2.35
9/9/2020,2.21
9/10/2020,2.13
9/11/2020,1.93
9/14/2020,2.18
9/15/2020,2.19
9/16/2020,2.06
9/17/2020,1.65
9/18/2020,1.56
9/21/2020,1.33
9/22/2020,1.49
9/23/2020,1.74
9/24/2020,1.93
9/25/2020,1.9
9/28/2020,1.83
9/29/2020,1.74
9/30/2020,1.66
10/1/2020,1.6
10/2/2020,1.41
10/5/2020,1.92
10/6/2020,1.86
10/7/2020,2.01
10/8/2020,1.49
10/9/2020,2.25
10/12/2020,2.31
10/13/2020,2.14
10/14/2020,2.02
10/15/2020,2.23
10/16/2020,2.16
10/19/2020,2.3
10/20/2020,2.57
10/21/2020,2.95
10/22/2020,2.99
10/23/2020,2.91
10/26/2020,3.14
10/27/2020,3.07
10/28/2020,3.14
10/29/2020,3.06
10/30/2020,3.03
11/2/2020,3.03
11/3/2020,2.88
11/4/2020,2.63
11/5/2020,2.69
11/6/2020,2.67
11/9/2020,2.63
11/10/2020,2.74
11/11/2020,2.75
11/12/2020,2.81
11/13/2020,2.82
11/16/2020,2.62
11/17/2020,2.55
11/18/2020,2.37
11/19/2020,2.19
11/20/2020,2.22
11/23/2020,2.23
11/24/2020,2.47
11/25/2020,2.47
11/26/2020,
11/27/2020,
11/30/2020,2.89
12/1/2020,2.89
12/2/2020,2.75
12/3/2020,2.46
12/4/2020,2.48
12/7/2020,2.39
12/8/2020,2.36
12/9/2020,2.45
12/10/2020,2.45
12/11/2020,2.54
12/14/2020,2.69
12/15/2020,2.63
12/16/2020,2.73
12/17/2020,2.7
12/18/2020,2.73
12/21/2020,2.68
12/22/2020,2.76
12/23/2020,2.76
12/24/2020,2.68
12/25/2020,
12/28/2020,2.39
12/29/2020,2.4
12/30/2020,2.36
12/31/2020,2.39
1/1/2021,
1/4/2021,2.6
1/5/2021,2.77
1/6/2021,2.76
1/7/2021,2.81
1/8/2021,2.77
1/11/2021,2.71
1/12/2021,2.89
1/13/2021,2.82
1/14/2021,2.82
1/15/2021,2.86
1/18/2021,
1/19/2021,2.65
1/20/2021,2.57
1/21/2021,2.49
1/22/2021,2.45
1/25/2021,2.63
1/26/2021,2.73
1/27/2021,2.77
1/28/2021,2.76
1/29/2021,2.68
2/1/2021,2.88
2/2/2021,3.24
2/3/2021,3.01
2/4/2021,2.99
2/5/2021,3.49
2/8/2021,3.4
2/9/2021,3.35
2/10/2021,3.76
2/11/2021,6.5
2/12/2021,6.12
2/15/2021,
2/16/2021,11.32
2/17/2021,23.86
2/18/2021,8.56
2/19/2021,4.96
2/22/2021,3.16
2/23/2021,2.94
2/24/2021,2.8
2/25/2021,2.72
2/26/2021,2.66
3/1/2021,2.7
3/2/2021,2.87
3/3/2021,2.86
3/4/2021,2.79
3/5/2021,2.72
3/8/2021,2.67
3/9/2021,2.62
3/10/2021,2.62
3/11/2021,2.7
3/12/2021,2.65
3/15/2021,2.58
3/16/2021,2.5
3/17/2021,2.6
3/18/2021,2.45
3/19/2021,2.53
3/22/2021,2.55
3/23/2021,2.56
3/24/2021,2.56
3/25/2021,2.52
3/26/2021,2.52
3/29/2021,2.58
3/30/2021,2.55
3/31/2021,2.52
4/1/2021,2.52
4/2/2021,
4/5/2021,2.43
4/6/2021,2.44
4/7/2021,2.43
4/8/2021,2.47
4/9/2021,2.48
4/12/2021,2.5
4/13/2021,2.57
4/14/2021,2.65
4/15/2021,2.62
4/16/2021,2.63
4/19/2021,2.75
4/20/2021,2.76
4/21/2021,2.72
4/22/2021,2.77
4/23/2021,2.79
4/26/2021,2.73
4/27/2021,2.91
4/28/2021,2.98
4/29/2021,2.91
4/30/2021,2.86
5/3/2021,2.96
5/4/2021,3
5/5/2021,2.99
5/6/2021,2.9
5/7/2021,2.9
5/10/2021,2.93
5/11/2021,2.91
5/12/2021,2.91
5/13/2021,2.95
5/14/2021,2.95
5/17/2021,2.99
5/18/2021,2.96
5/19/2021,2.88
5/20/2021,2.86
5/21/2021,2.84
5/24/2021,2.78
5/25/2021,2.87
5/26/2021,2.91
5/27/2021,2.85
5/28/2021,2.91
5/31/2021,
6/1/2021,3.02
6/2/2021,3.09
6/3/2021,3.01
6/4/2021,3.01
6/7/2021,2.98
6/8/2021,3.11
6/9/2021,3.13
6/10/2021,3.13
6/11/2021,3.23
6/14/2021,3.36
6/15/2021,3.31
6/16/2021,3.25
6/17/2021,3.24
6/18/2021,3.23
6/21/2021,3.15
6/22/2021,3.21
6/23/2021,3.36
6/24/2021,3.3
6/25/2021,3.4
6/28/2021,3.62
6/29/2021,3.75
6/30/2021,3.79
7/1/2021,3.76
7/2/2021,3.67
7/5/2021,
7/6/2021,3.68
7/7/2021,3.66
7/8/2021,3.56
7/9/2021,3.71
7/12/2021,3.7
7/13/2021,3.78
7/14/2021,3.8
7/15/2021,3.68
7/16/2021,3.7
7/19/2021,3.75
7/20/2021,3.82
7/21/2021,3.94
7/22/2021,4.02
7/23/2021,4.11
7/26/2021,4.09
7/27/2021,4.15
7/28/2021,4.1
7/29/2021,4.03
7/30/2021,3.94
8/2/2021,4.02
8/3/2021,4.06
8/4/2021,4.2
8/5/2021,4.27
8/6/2021,4.21
8/9/2021,4.24
8/10/2021,4.12
8/11/2021,4.07
8/12/2021,4.1
8/13/2021,3.95
8/16/2021,3.93
8/17/2021,3.92
8/18/2021,3.86
8/19/2021,3.83
8/20/2021,3.94
8/23/2021,3.93
8/24/2021,3.95
8/25/2021,4.03
8/26/2021,4.07
8/27/2021,4.35
8/30/2021,4.25
8/31/2021,4.33
9/1/2021,4.45
9/2/2021,4.65
9/3/2021,4.77
9/6/2021,
9/7/2021,4.71
9/8/2021,4.66
9/9/2021,4.97
9/10/2021,5.13
9/13/2021,5.21
9/14/2021,5.39
9/15/2021,5.66
9/16/2021,5.52
9/17/2021,5.32
9/20/2021,5.25
9/21/2021,4.96
9/22/2021,4.92
9/23/2021,4.94
9/24/2021,5.1
9/27/2021,5.53
9/28/2021,5.94
9/29/2021,5.73
9/30/2021,5.58
10/1/2021,5.61
10/4/2021,5.8
10/5/2021,6.37
10/6/2021,6
10/7/2021,5.71
10/8/2021,5.46
10/11/2021,5.46
10/12/2021,5.34
10/13/2021,5.56
10/14/2021,5.92
10/15/2021,5.44
10/18/2021,5.01
10/19/2021,4.81
10/20/2021,4.87
10/21/2021,4.94
10/22/2021,5.1
10/25/2021,5.72
10/26/2021,5.59
10/27/2021,5.91
10/28/2021,5.68
10/29/2021,5.49
11/1/2021,5.22
11/2/2021,5.33
11/3/2021,5.59
11/4/2021,5.73
11/5/2021,5.51
11/8/2021,5.53
11/9/2021,5.08
11/10/2021,4.56
11/11/2021,4.81
11/12/2021,4.97
11/15/2021,4.77
11/16/2021,5.11
11/17/2021,4.82
11/18/2021,4.95
11/19/2021,4.9
11/22/2021,4.83
11/23/2021,4.95
11/24/2021,4.93
11/25/2021,
11/26/2021,
11/29/2021,4.9
11/30/2021,4.52
12/1/2021,4.31
12/2/2021,4.08
12/3/2021,3.79
12/6/2021,3.66
12/7/2021,3.6
12/8/2021,3.79
12/9/2021,3.67
12/10/2021,3.65
12/13/2021,4.05
12/14/2021,3.71
12/15/2021,3.79
12/16/2021,3.67
12/17/2021,3.71
12/20/2021,3.91
12/21/2021,3.96
12/22/2021,3.95
12/23/2021,3.56
12/24/2021,
12/27/2021,3.45
12/28/2021,3.32
12/29/2021,3.4
12/30/2021,3.82
12/31/2021,3.82
1/3/2022,3.74
1/4/2022,3.73
1/5/2022,3.78
1/6/2022,3.94
1/7/2022,3.83
1/10/2022,4.16
1/11/2022,4.16
1/12/2022,4.62
1/13/2022,4.78
1/14/2022,4.37
1/17/2022,
1/18/2022,4.55
1/19/2022,4.89
1/20/2022,4.45
1/21/2022,4.11
1/24/2022,4.2
1/25/2022,4.24
1/26/2022,4.43
1/27/2022,4.43
1/28/2022,5.69
1/31/2022,5.56
2/1/2022,5.45
2/2/2022,6.7
2/3/2022,5.84
2/4/2022,5.34
2/7/2022,4.44
2/8/2022,4.3
2/9/2022,4.13
2/10/2022,4.03
2/11/2022,4.04
2/14/2022,4.05
2/15/2022,4.31
2/16/2022,4.39
2/17/2022,4.57
2/18/2022,4.61
2/21/2022,
2/22/2022,4.48
2/23/2022,4.59
2/24/2022,4.78
2/25/2022,4.63
2/28/2022,4.46
3/1/2022,4.36
3/2/2022,4.65
3/3/2022,4.63
3/4/2022,4.74
3/7/2022,4.93
3/8/2022,4.61
3/9/2022,4.55
3/10/2022,4.65
3/11/2022,4.79
3/14/2022,4.59
3/15/2022,4.46
3/16/2022,4.68
3/17/2022,4.8
3/18/2022,4.87
3/21/2022,4.77
3/22/2022,5
3/23/2022,5.26
3/24/2022,5.19
3/25/2022,5.51
3/28/2022,5.52
3/29/2022,5.32
3/30/2022,5.32
3/31/2022,5.46
4/1/2022,5.43
4/4/2022,5.72
4/5/2022,5.95
4/6/2022,6.29
4/7/2022,6.05
4/8/2022,6.38
4/11/2022,6.35
4/12/2022,6.59
4/13/2022,6.68
4/14/2022,6.94
4/15/2022,
4/18/2022,7.48
4/19/2022,7.44
4/20/2022,7.12
4/21/2022,6.88
4/22/2022,6.59
4/25/2022,6.42
4/26/2022,6.89
4/27/2022,6.91
4/28/2022,6.97
4/29/2022,6.84
5/2/2022,7.3
5/3/2022,7.84
5/4/2022,8.3
5/5/2022,8.42
5/6/2022,8.35
5/9/2022,8.06
5/10/2022,6.78
5/11/2022,7.53
5/12/2022,7.25
5/13/2022,7.75
5/16/2022,8.07
5/17/2022,8.26
5/18/2022,8.53
5/19/2022,8.21
5/20/2022,7.97
5/23/2022,8.16
5/24/2022,8.87
5/25/2022,9.44
5/26/2022,9.19
5/27/2022,8.3
5/30/2022,
5/31/2022,8.46
6/1/2022,8.47
6/2/2022,8.9
6/3/2022,8.34
6/6/2022,9.08
6/7/2022,9.28
6/8/2022,9.43
6/9/2022,8.16
6/10/2022,8.78
6/13/2022,9
6/14/2022,7.68
6/15/2022,7.72
6/16/2022,7.88
6/17/2022,7.37
6/20/2022,
6/21/2022,6.6
6/22/2022,6.76
6/23/2022,6.54
6/24/2022,5.8
6/27/2022,6.09
6/28/2022,6.66
6/29/2022,6.69
6/30/2022,6.54
7/1/2022,5.75
7/4/2022,
7/5/2022,5.72
7/6/2022,5.65
7/7/2022,5.83
7/8/2022,6.4
7/11/2022,6.82
7/12/2022,6.81
7/13/2022,6.68
7/14/2022,6.9
7/15/2022,6.6
7/18/2022,7.65
7/19/2022,7.35
7/20/2022,7.58
7/21/2022,7.99
7/22/2022,8.25
7/25/2022,8.52
7/26/2022,9.46
7/27/2022,8.65
7/28/2022,8.75
7/29/2022,8.33
8/1/2022,8.2
8/2/2022,8.01
8/3/2022,7.81
8/4/2022,8.4
8/5/2022,8.3
8/8/2022,7.76
8/9/2022,7.87
8/10/2022,7.86
8/11/2022,8.53
8/12/2022,8.73
8/15/2022,8.62
8/16/2022,9.28
8/17/2022,9.51
8/18/2022,9.42
8/19/2022,9.14
8/22/2022,9.85
8/23/2022,9.75
8/24/2022,9.27
8/25/2022,9.47
8/26/2022,9.48
8/29/2022,9.24
8/30/2022,9.1
8/31/2022,8.93
9/1/2022,9.38
9/2/2022,9.18
9/5/2022,
9/6/2022,8.52
9/7/2022,8.12
9/8/2022,8.27
9/9/2022,8.31
9/12/2022,8.2
9/13/2022,8.49
9/14/2022,8.7
9/15/2022,8.6
9/16/2022,8.11
9/19/2022,7.96
9/20/2022,8.01
9/21/2022,7.99
9/22/2022,7.76
9/23/2022,6.75
9/26/2022,6.75
9/27/2022,6.83
9/28/2022,6.59
9/29/2022,6.57
9/30/2022,6.4
10/3/2022,5.64
10/4/2022,5.4
10/5/2022,5.84
10/6/2022,6.91
10/7/2022,6.25
10/10/2022,
10/11/2022,6.2
10/12/2022,6.6
10/13/2022,6.25
10/14/2022,6.1
10/17/2022,6.08
10/18/2022,6.16
10/19/2022,5.63
10/20/2022,5.1
10/21/2022,4.45
10/24/2022,4.81
10/25/2022,5.17
10/26/2022,5.28
10/27/2022,5.3
10/28/2022,5.02
10/31/2022,5.02
11/1/2022,4.57
11/2/2022,4.58
11/3/2022,4.65
11/4/2022,4
11/7/2022,4.62
11/8/2022,4
11/9/2022,3.46
11/10/2022,4.8
11/11/2022,4.8
11/14/2022,6.24
11/15/2022,5.9
11/16/2022,5.88
11/17/2022,6.2
11/18/2022,6.1
11/21/2022,6.23
11/22/2022,6.27
11/23/2022,6.57
11/24/2022,
11/25/2022,6.57
11/28/2022,6
11/29/2022,6.03
11/30/2022,7
12/1/2022,6.33
12/2/2022,4.92
12/5/2022,4.15
12/6/2022,4.58
12/7/2022,4.49
12/8/2022,4.79
12/9/2022,4.98
12/12/2022,6.73
12/13/2022,7.2
12/14/2022,6.54
12/15/2022,6.8
12/16/2022,6.63
12/19/2022,6.08
12/20/2022,5.28
12/21/2022,6.13
12/22/2022,7.1
12/23/2022,7.15
12/26/2022,
12/27/2022,4.88
12/28/2022,4.06
12/29/2022,3.78
12/30/2022,3.52
1/2/2023,
1/3/2023,3.64
1/4/2023,3.75
1/5/2023,3.78
1/6/2023,3.43
1/9/2023,3.65
1/10/2023,3.32
1/11/2023,3.41
1/12/2023,3.47
1/13/2023,3.43
1/16/2023,
1/17/2023,3.43
1/18/2023,3.2
1/19/2023,2.91
1/20/2023,3.15
1/23/2023,3.43
1/24/2023,3.35
1/25/2023,3.09
1/26/2023,2.72
1/27/2023,2.83
1/30/2023,2.82
1/31/2023,2.65
2/1/2023,2.65
2/2/2023,2.67
2/3/2023,2.4
2/6/2023,2.17
2/7/2023,2.35
2/8/2023,2.4
2/9/2023,2.4
2/10/2023,2.37
2/13/2023,2.42
2/14/2023,2.42
2/15/2023,2.45
2/16/2023,2.48
2/17/2023,2.28
2/20/2023,
2/21/2023,2.12
2/22/2023,2.07
2/23/2023,2.17
2/24/2023,2.36
2/27/2023,2.55
2/28/2023,2.5
3/1/2023,2.59
3/2/2023,2.67
3/3/2023,2.66
3/6/2023,2.46
3/7/2023,2.52
3/8/2023,2.5
3/9/2023,2.5
3/10/2023,2.4
3/13/2023,2.4
3/14/2023,2.65
3/15/2023,2.45
3/16/2023,2.45
3/17/2023,2.42
3/20/2023,2.23
3/21/2023,1.93
3/22/2023,2.03
3/23/2023,2.08
3/24/2023,2.04
3/27/2023,2.04
3/28/2023,2.02
3/29/2023,1.94
3/30/2023,1.95
3/31/2023,2.1
4/3/2023,2.09
4/4/2023,2.13
4/5/2023,2.17
4/6/2023,2.18
4/7/2023,
4/10/2023,2.15
4/11/2023,2.19
4/12/2023,2.22
4/13/2023,2.04
4/14/2023,1.87
4/17/2023,2.21
4/18/2023,2.23
4/19/2023,2.2
4/20/2023,2.19
4/21/2023,2.2
4/24/2023,2.19
4/25/2023,2.21
4/26/2023,2.19
4/27/2023,2.17
4/28/2023,2.27
5/1/2023,2.24
5/2/2023,2.12
5/3/2023,2.01
5/4/2023,1.96
5/5/2023,1.85
5/8/2023,2.12
5/9/2023,2.22
5/10/2023,2.12
5/11/2023,2.07
5/12/2023,1.98
5/15/2023,2.25
5/16/2023,2.28
5/17/2023,2.25
5/18/2023,2.3
5/19/2023,2.37
5/22/2023,2.3
5/23/2023,2.22
5/24/2023,2.25
5/25/2023,2.23
5/26/2023,1.88
5/29/2023,
5/30/2023,2.11
5/31/2023,2.1
6/1/2023,1.77
6/2/2023,1.74
6/5/2023,1.92
6/6/2023,1.95
6/7/2023,2.13
6/8/2023,2.1
6/9/2023,1.85
6/12/2023,1.9
6/13/2023,2
6/14/2023,2.05
6/15/2023,2.18
6/16/2023,2.13
6/19/2023,
6/20/2023,2.38
6/21/2023,2.24
6/22/2023,2.27
6/23/2023,2.22
6/26/2023,2.62
6/27/2023,2.68
6/28/2023,2.71
6/29/2023,2.4
6/30/2023,2.48
7/3/2023,2.48
7/4/2023,
7/5/2023,2.65
7/6/2023,2.5
7/7/2023,2.49
7/10/2023,2.55
7/11/2023,2.57
7/12/2023,2.55
7/13/2023,2.5
7/14/2023,2.5
7/17/2023,2.46
7/18/2023,2.52
7/19/2023,2.51
7/20/2023,2.61
7/21/2023,2.61
7/24/2023,2.68
7/25/2023,2.66
7/26/2023,2.6
7/27/2023,2.47
7/28/2023,2.53
7/31/2023,2.58
8/1/2023,2.49
8/2/2023,2.43
8/3/2023,2.44
8/4/2023,2.53
8/7/2023,2.65
8/8/2023,2.77
8/9/2023,2.92
8/10/2023,2.83
8/11/2023,2.61
8/14/2023,2.74
8/15/2023,2.65
8/16/2023,2.55
8/17/2023,2.56
8/18/2023,2.44
8/21/2023,2.6
8/22/2023,2.58
8/23/2023,2.6
8/24/2023,2.42
8/25/2023,2.46
8/28/2023,2.6
8/29/2023,2.5
8/30/2023,2.48
8/31/2023,2.56
9/1/2023,2.7
9/4/2023,
9/5/2023,2.6
9/6/2023,2.49
9/7/2023,2.45
9/8/2023,2.53
9/11/2023,2.5
9/12/2023,2.72
9/13/2023,2.76
9/14/2023,2.81
9/15/2023,2.74
9/18/2023,2.54
9/19/2023,2.46
9/20/2023,2.78
9/21/2023,2.7
9/22/2023,2.63
9/25/2023,2.63
9/26/2023,2.55
9/27/2023,2.72
9/28/2023,2.74
9/29/2023,2.68
10/2/2023,2.7
10/3/2023,2.71
10/4/2023,2.92
10/5/2023,2.92
10/6/2023,3.3
10/9/2023,
10/10/2023,3.34
10/11/2023,3.19
10/12/2023,3.16
10/13/2023,3.11
10/16/2023,2.98
10/17/2023,2.94
10/18/2023,2.92
10/19/2023,2.84
10/20/2023,2.6
10/23/2023,2.65
10/24/2023,2.85
10/25/2023,2.86
10/26/2023,2.87
10/27/2023,3.24
10/30/2023,3.17
10/31/2023,3.34
11/1/2023,3.19
11/2/2023,3.12
11/3/2023,3
11/6/2023,2.71
11/7/2023,2
11/8/2023,2.18
11/9/2023,2.71
11/10/2023,2.71
11/13/2023,2.61
11/14/2023,2.69
11/15/2023,2.88
11/16/2023,2.91
11/17/2023,2.62
11/20/2023,2.49
11/21/2023,2.63
11/22/2023,2.72
11/23/2023,
11/24/2023,2.72
11/27/2023,2.74
11/28/2023,2.78
11/29/2023,2.7
11/30/2023,2.75
12/1/2023,2.63
12/4/2023,2.55
12/5/2023,2.72
12/6/2023,2.76
12/7/2023,2.52
12/8/2023,2.57
12/11/2023,2.39
12/12/2023,2.37
12/13/2023,2.33
12/14/2023,2.39
12/15/2023,2.44
12/18/2023,2.59
12/19/2023,2.44
12/20/2023,2.48
12/21/2023,2.48
12/22/2023,2.54
12/25/2023,
12/26/2023,2.5
12/27/2023,2.63
12/28/2023,2.55
12/29/2023,2.58
1/1/2024,
1/2/2024,2.56
1/3/2024,2.57
1/4/2024,2.83
1/5/2024,2.75
1/8/2024,2.72
1/9/2024,3.25
1/10/2024,3.25
1/11/2024,3.15
1/12/2024,13.2
1/15/2024,
1/16/2024,3.25
1/17/2024,2.86
1/18/2024,2.88
1/19/2024,2.7
1/22/2024,2.35
1/23/2024,2.15
1/24/2024,2.45
1/25/2024,2.56
1/26/2024,2.36
1/29/2024,2.41
1/30/2024,2.26
1/31/2024,2.19
2/1/2024,2.15
2/2/2024,2.01
2/5/2024,2.12
2/6/2024,2.1
2/7/2024,1.94
2/8/2024,1.74
2/9/2024,1.74
2/12/2024,1.76
2/13/2024,1.61
2/14/2024,1.51
2/15/2024,1.53
2/16/2024,1.55
2/19/2024,
2/20/2024,1.5
2/21/2024,1.58
2/22/2024,1.62
2/23/2024,1.52
2/26/2024,1.65
2/27/2024,1.52
2/28/2024,1.61
2/29/2024,1.67
3/1/2024,1.47
3/4/2024,1.48
3/5/2024,1.51
3/6/2024,1.67
3/7/2024,1.56
3/8/2024,1.54
3/11/2024,1.54
3/12/2024,1.57
3/13/2024,1.25
3/14/2024,1.26
3/15/2024,1.38
3/18/2024,1.54
3/19/2024,1.55
3/20/2024,1.58
3/21/2024,1.55
3/22/2024,1.5
3/25/2024,1.46
3/26/2024,1.48
3/27/2024,1.43
3/28/2024,1.54
3/29/2024,
4/1/2024,1.64
4/2/2024,1.65
4/3/2024,1.86
4/4/2024,1.78
4/5/2024,1.58
4/8/2024,1.73
4/9/2024,1.83
4/10/2024,1.9
4/11/2024,1.62
4/12/2024,1.36
4/15/2024,1.41
4/16/2024,1.38
4/17/2024,1.5
4/18/2024,1.59
4/19/2024,1.43
4/22/2024,1.64
4/23/2024,1.59
4/24/2024,1.6
4/25/2024,1.46
4/26/2024,1.4
4/29/2024,1.55
4/30/2024,1.68
5/1/2024,1.63
5/2/2024,1.66
5/3/2024,1.67
5/6/2024,1.88
5/7/2024,1.95
5/8/2024,2.01
5/9/2024,2.03
5/10/2024,2.14
5/13/2024,2.11
5/14/2024,2.14
5/15/2024,2.12
5/16/2024,2.32
5/17/2024,2.44
5/20/2024,2.52
5/21/2024,2.52
5/22/2024,2.51
5/23/2024,2.64
5/24/2024,2.22
5/27/2024,
5/28/2024,2.29
5/29/2024,2.2
5/30/2024,1.87
5/31/2024,1.78
6/3/2024,2.55
6/4/2024,2.58
6/5/2024,2.27
6/6/2024,2.3
6/7/2024,2.46
6/10/2024,2.61
6/11/2024,2.71
